Nameoftheschool,Located,Zip code,Latitude,Longitude
Silpan Academy (V.H. School),"Burdwan,WESTBENGAL",,23.239593, 87.872085
Basirhat Re-Life Handicapped Society,"Dist. 24- Parganas (North),WESTBENGAL",743 411,22.660350, 88.866560
N.E.L.C. School for the Blind,"Chochbehar,WESTBENGAL",,26.331751, 89.446000
Chaitanyapur Vivekanda Asharm for Blind (School),"Midnapur,WESTBENGAL",,22.418513, 87.323882
Jalpaiguri school for the Blind,"Kamarvita,WESTBENGAL",735 135,26.636343, 88.528126
Ramakrishna Vivekananda Mission Ashram,"Barrackpore,WESTBENGAL",743 101,22.757932, 88.373716
St Michaels Blind School,"Ranchi,Jharkhand",,23.340182, 85.329478
"CHILD CONCERN - Autism, CP, ID, ADHD, Hearing","Ranchi,Jharkhand",,23.323896, 85.307755
Ranchi Blind School,"Ranchi,Jharkhand",,23.333657, 85.359735
Brajkishore Netraheen Balika Vidyalaya,"Booty Road,Jharkhand",,23.400989, 85.357902
Brajkishore Netraheen Balika Vidyalaya,"Ranchi,Jharkhand",,23.368147, 85.325115
Blind school,"Raipur,Chattisgarh",,21.237868, 81.641720
National Association For The Blind (Prerna Bhavan),"Raipur,Chattisgarh",,21.252893, 81.664048
Government Higher Secondary School for Blind and Deafmute,"Raipur,Chattisgarh",,21.260597, 81.619072
Blind & Deaf Higher secondary school Tifra,"Deori,Chattisgarh",,20.912449, 81.049758
Nayandeep School,"Bhilai,Chattisgarh",,21.194453, 81.362796
Madhab Andhasharm Cahndra Vandrinka,"Gwalior,MadhyaPradesh",474 009,26.197280, 78.162666
Apang Bal Gruh (Disabled Child Home) Vishesh Pathshala,"Indore,MadhyaPradesh",,22.690129, 75.843275
Mahesh Dristiheen Balika Vidyalaya,"Indore,MadhyaPradesh",452 009, 22.689506, 75.844605
Hellen Keller Middle School for the Blind Prakash Nagar,"Indore,MadhyaPradesh",452 001,22.706582, 75.879793
Government Blind & Deaf-Dumb  School,"Raipur,MadhyaPradesh",492 001,21.231069, 81.657988
Chandra Shekhar Azad Adiwasi Gramin Dristiheen Punarvasan Kendra,"Dist. Jhabua, MadhyaPradesh",,22.764804, 74.597082
Government Blind  Deaf & Dumb School,"Cant Sagar,MadhyaPradesh",470 001,23.748088, 78.696314
Netraheen  Avam Vikalanga Maha Vidyalaya,"Rewa,MadhyaPradesh",468 001,24.537109, 81.305051
School and Rehabilitation Centre for the Blind,"Beitul,MadhyaPradesh",460 005,21.902294, 77.904242
Government Deaf Dumb & Blind School Kesar Bungalow,"Bhopal,MadhyaPradesh",,23.238512, 77.400761
Government Deaf Dumb & Blind School,"Juni Bilaspur,MadhyaPradesh",,22.805161, 81.536455
The Secreatry M.P. Welfare Association for the Blind,"Dewas,MadhyaPradesh",455 001,23.090331, 76.041315
Blind and Deaf & Dumb Children Home,"Jabalpur,MadhyaPradesh",,23.164310, 79.945058
Government Deaf Dumb & Blind School,"Jagdalpur,MadhyaPradesh",494 001,18.967808, 81.994954
Mahesh Dristiheen Kalyan Sangh Sangh Balika Chatrawas,"Raipur,MadhyaPradesh",,24.571600, 81.430110
Adult Training Centre for the Blind School,"Ahmedabad,Gujarat",380 015,
Light House for the Blind,"Ahmedabad,Gujarat",380 052,
Secondary school for the Blin ,"Ahmedabad,Gujarat",380 015,
Smt. M.K. Mehta School for the Blind,"Banaskentha,Gujarat",,
Government Schol for the Blind,"Baroda-2,Gujarat",,
Andhjan Vividhlaxhi Talim Kendra,"Jamnagar,Gujarat",361 006
Meghji Pethraj Government Blind School,"Junagadh,Gujarat",,
Shri Pragnachakshu Vividh Lakshi Vidya Mandir,"Junagadh,Gujarat",,
Smt. M.B. Jain Andhjan Vidyalaya,"Panchmahal,Gujarat",389 151,
V.D. Parekh Andh Mahila Viaks Gruh,"Rajkot,Gujarat",,
Andh Apang Kalyan Kendra,"Ahmedaabd,Gujarat",380 019,
School for the Blind,"Ahmedabad,Gujarat",,
Pukhtavaya Andahjan Talim Kendra,"Amreli,Gujarat",,
Andh Kanya Vikaw Gruh,"Baroda,Gujarat",390 002,
Krishna Kumar Singh Ji Andh Udyog Sala,"Bhavnagar,Gujarat",364 002,
Andhjan Mdahyamic Shala,"Gandhi Nagar,Gujarat",,
Shree Andh Vidyarthi Bhuvan,"Junagadhr,Gujarat",,
Sarkari Andh Shala,"Kutch,Gujarat",,
Shri Bharatiya Pragnachakshu Gurukul,"Porbandar,Gujarat",,
M.T. Doshi Andh Vidyalaya,"Saurashtra, GUJARAT",, 
Marudhar Andh Vidyalaya Sanchalak Netraheen Vikas Sansthan,"Jodhpur,Rajasthan",342 001,
L.K.C Jagadamba Andh Vidyalaya,"Sri Ganga Nagar,Rajasthan",35 001,
Pragya Chaksu Sikshan Sansthan,"Udaipur,Rajasthan",,
Govt. Higher Secondary School for the Blind,"Ajmer,Rajasthan",,
The PrincipalGovt Residential School for the Blind,"Bikaner,Rajasthan",334 001,
Rajasthan Netraheen Kalyan Sangh Sanchalit Primary School for  the Blind Children,"Jaipur,Rajasthan",302 001,
Joraht Blind Institution,"Dist – Jorhat,Assam",,
Guwahati Andh Vidyalaya,"Guwahati,Assam",78109,
Jyoti Sroat School for the Blind,"Shillong,Meghalaya",793003,
Sri Adinath Andh Vidyalaya for the Blind,"Bhojpur,Bihar",802 231,
Smt. Gunjeswari Netraheen Vidyalaya,"Darbhanga,Bihar",847 221,
Government High School for the Blind,"Patna,Bihar",802 002,
Sewa Sadan Andh Vidyalaya,"Saran,Bihar",,
Kameswari Priya Govt. School for the Blind,"Drabhanga,Bihar",846 004,
School for the blind,"Purniya,Bihar",,
Lions Club Sri Sri Bhajan Brahmachari Blind School Trust,"Dhanbad,Jharkhand",,23.788225, 86.422231
Braijkishore Netraheen Balika Vidyalaya,"RANCHI,Jharkhand",,23.357289, 85.336957
St. Michael’s School for the Blind,"Ranchi,Jharkhand",834 001,23.377247, 85.319188
Mohalbani Blind School Relief Society,"Dhanbad,Jharkhand",,23.796233, 86.437681
Government School for the Blind,"Ranchi,Jharkhand",,23.340586, 85.319316
NAB BIHAR STATE BRANCH,"Jamshedpur,Jharkhand",831 001,22.822438, 86.215761
Society for the Care of Blind,"Chandigarh",160026,
Sanatan Dharam Institute for the Blind,"Ambala Cantonement,Haryana",133 001,
Andh Mahavidyalaya,"Hissar,Haryana",,
Government Institute for the Blind,"Karnal,Haryana",132103,
Netraheen Kanya Vidyalaya,"Mahendragarh,Haryana",,
Institution for the Blind,"Amritsar,Punjab",143 001,
District Council for Welfare of  the Handicapped,"Ferozepur,Punjab",,
Rashtriya Andh Vidyalaya,"Jullunder,Punjab",144 001,
Govt. Institute for the blind Girls,"Ludhiana,Punjab",,
Home for the Blind and Disabled,"Sangrur,Punjab",148 023,
School for the Blind,"simla,HimachalPradesh",,
Residential School for the Blind,"Jammu,Jammu & Kashmir",180 005,
Govt. Ideal Blind School,"Imphal,Manipur",795001,
Govt. Blind School,"Kohima,Nagaland",797 106,
Jawaharlal Nehru Memorial Institute for Handicapped ,"Namchi,Sikkim",,
Institute for the Visually Handicapped (Boys),"Bimangarh,Tripura",799 015,
Ahmadi School for the Blind,"Aligarh,UttarPradesh",202 001,
Govt. School for the Blind,"Banda,UttarPradesh",210 001,
Swami Ajaranand Andh Vidyalaya,"Hardwar,UttarPradesh",,
Govt. School for the Blind,"Lucknow,UttarPradesh",226 004,
Hanuman Parasd Podar Andh Vidyalaya,"Varanasi,UttarPradesh",220 005,
Govt. Blind Girls School,"Saharanpur,UttarPradesh",,
Sharp Memorial School for the Blind,"Dehradun,UttarKhand",248 009,
Govt. School for the Blind,"Laldiggi Gorakhpur,UttarPradesh",,
Bharatiya Netraheen Vidyalaya,"Saharanpur,UttarPradesh",,
Indumati Andh Shishu Saharanalya,"Garhwal,UttarPradesh",249 001,
Jeevan Jyoti School for the Blind,"Varanasi,UttarPradesh",221 007,
Vikalanga Abasiya Vidyalaya,"Bandha,UttarPradesh",210 001,
